Resolution,0,1,2,3,4,5,6,7,8,9,10,11,12,13
A/RES/32/149,0.00043809589,0.00027465622,0.00026748548,0.03814178,0.00035993193,0.00017625916,0.0959602,0.00032205693,0.07625165,0.0002661932,0.40050897,0.3728354,0.013910185,0.0002871221
A/RES/63/51,0.0008573793,0.0005375017,0.8782111,0.0005669188,0.00070425513,0.00034493813,0.0016233127,0.0006302559,0.05378252,0.00052093924,0.0005607639,0.0022308354,0.05886745,0.00056190154
A/RES/68/186,0.07314296,9.138249e-05,8.899596e-05,9.638322e-05,0.001491548,5.864394e-05,0.025548717,0.00010715264,0.07865272,0.69598913,9.533678e-05,0.061905816,0.00015881007,0.062572405
A/RES/70/102[B-VIII],0.007495383,0.0044028596,1.9899193e-05,2.1551312e-05,2.6775757e-05,0.9575426,0.011682609,2.3959343e-05,2.7260478e-05,1.9803152e-05,2.1317e-05,8.483939e-05,0.003997104,0.014634053
A/RES/46/158,0.098234005,0.02276782,0.00024543062,0.00026581236,0.0003302173,0.00016172676,0.0590075,0.00029549625,0.041850198,0.00024424595,0.0002629169,0.7335392,0.042531915,0.0002634488
A/RES/62/20,0.00023357738,0.00014642165,0.5235126,0.000154435,0.00019184264,9.396519e-05,0.011368793,0.00017168935,0.45787555,0.00014191029,0.00015275799,0.0055489573,0.00025445013,0.0001530674
A/RES/32/170,0.022897305,0.00024236711,0.00023603746,0.00025563012,0.00031781252,0.00015553692,0.018167637,0.1229932,0.00032332816,0.00023489859,0.00025285708,0.5676826,0.26598743,0.00025336645
A/RES/74/52,0.00065812253,0.00041258137,0.8731974,0.00043516114,0.00054056506,0.00026477152,0.003081469,0.00048377807,0.042798143,0.00039986847,0.014461432,0.0017183694,0.06111706,0.00043131004
A/RES/2385(XXIII),0.0072247316,0.00014421041,0.038581032,0.00015210283,0.6359348,9.254559e-05,0.0061474335,0.0001691029,0.00019239816,0.00013976592,0.043016937,0.16990685,0.091115125,0.0071829553
A/RES/59/273,0.00026734246,0.00016756261,0.00016318679,0.6620843,0.00021957343,0.026644105,0.00050103967,0.14357549,0.033994485,0.11077798,0.00017481369,0.00089766947,0.00029126758,0.020241244
A/RES/1001(ES-I),0.00037790136,0.00023693262,0.0002307459,0.13415813,0.10755271,0.00015204983,0.46519095,0.14008881,0.014741261,0.00022963183,0.06475349,0.07162797,0.00041180008,0.0002476868
A/RES/1135(XII),0.0030833057,0.0019327081,0.0018822425,0.0020384882,0.5786607,0.0012403036,0.28865087,0.0022662852,0.0025780883,0.001873148,0.10257762,0.007839245,0.0033564912,0.0020204133
A/RES/36/70,0.00038785054,0.00024310117,0.00023675238,0.0002564047,0.00031853013,0.00015600787,0.060017258,0.14612882,0.00032433518,0.00023560974,0.00025362315,0.72594476,0.06524281,0.00025413523
