Term,Freq,Total,Category,logprob,loglift,relevance,Topic
development,76885.45124389674,144362.25120938916,Topic1,-3.1365,1.3315,-1.7960999999999998,12
country,45562.31084247129,95065.61534980929,Topic1,-3.6597,1.226,-2.19399,12
develop,36629.402571333805,59473.730345334974,Topic1,-3.8779,1.4768,-2.27149,12
sustainable,26096.342789356167,27146.29177963674,Topic1,-4.217,1.9221,-2.3752699999999995,12
food,16865.78696396609,18422.43678071008,Topic1,-4.6535,1.8732,-2.69549,12
support,16843.44147227435,44528.14297177741,Topic1,-4.6548,0.9894,-2.96154,12
global,12604.669845909504,18914.176338207053,Topic1,-4.9447,1.5557,-2.99458,12
world,15824.376601264275,42969.435496946906,Topic1,-4.7172,0.9626,-3.01326,12
need,15409.769232180459,47807.654216036564,Topic1,-4.7438,0.8293,-3.07187,12
recognize,14205.88217002177,38803.46221447024,Topic1,-4.8251,0.9567,-3.09056,12
poverty,9301.24374008885,10359.049681618113,Topic1,-5.2486,1.8538,-3.1178799999999995,12
goal,10297.426530875597,14671.622592126525,Topic1,-5.1469,1.6075,-3.1205799999999995,12
disaster,9632.16555306899,12037.234558598988,Topic1,-5.2137,1.7386,-3.1280099999999997,12
national,14371.634449854262,46544.41282438301,Topic1,-4.8135,0.7864,-3.13353,12
implementation,15190.994422301997,67883.28274970896,Topic1,-4.7581,0.4644,-3.1913499999999995,12
cooperation,13063.995398717112,42715.234266083,Topic1,-4.9089,0.7768,-3.2031899999999998,12
policy,10632.6987498,22885.58335520825,Topic1,-5.1148,1.1949,-3.2218899999999997,12
summit,7849.466788633504,9436.627767901951,Topic1,-5.4183,1.7774,-3.2595899999999998,12
debt,7091.331485214569,7160.813561572286,Topic1,-5.5199,1.9518,-3.2783899999999995,12
effort,12796.772661481324,54593.99379765133,Topic1,-4.9296,0.5108,-3.2974799999999993,12
economic,48508.52229205229,80510.86096198764,Topic2,-3.4693,1.5826,-1.9537299999999997,11
programme,41114.44926439427,54424.30294427021,Topic2,-3.6347,1.8088,-2.0016499999999997,11
development,49318.89474712393,144362.25120938916,Topic2,-3.4527,1.0152,-2.11233,11
organization,41655.709294076216,101018.1090027378,Topic2,-3.6216,1.2034,-2.1740999999999997,11
conference,28990.37780931428,66212.97214745797,Topic2,-3.9841,1.2633,-2.4098800000000002,11
social,27954.8885144363,58846.40530377327,Topic2,-4.0205,1.3449,-2.41088,11
country,28645.99817020296,95065.61534980929,Topic2,-3.996,0.8897,-2.5302899999999995,11
council,21528.490586109754,61844.47773709195,Topic2,-4.2817,1.034,-2.6869899999999998,11
assistance,18137.33539773111,53998.874205650485,Topic2,-4.4531,0.9982,-2.81771,11
trade,12823.625059801123,21852.429055092653,Topic2,-4.7998,1.5562,-2.893,11
develop,16667.326583227725,59473.730345334974,Topic2,-4.5376,0.8171,-2.93119,11
system,15143.137213783522,45348.42224659341,Topic2,-4.6335,0.9924,-2.9457299999999997,11
activity,14084.609866423078,39697.66321730452,Topic2,-4.706,1.053,-2.9783,11
program,12566.432820770508,27629.698165879014,Topic2,-4.82,1.3014,-2.98358,11
implementation,15437.268102364085,67883.28274970896,Topic2,-4.6143,0.6082,-3.04755,11
fund,12478.398124093688,35018.97430177389,Topic2,-4.8271,1.0573,-3.0617799999999997,11
second,9193.056352406988,14178.031066473153,Topic2,-5.1326,1.656,-3.0960199999999998,11
action,12564.590240844018,47017.03940949238,Topic2,-4.8202,0.7696,-3.1432599999999997,11
commission,12363.569123414967,45645.33955678494,Topic2,-4.8363,0.7831,-3.1504799999999995,11
technical,9069.600595631486,16819.84301979444,Topic2,-5.1461,1.4716,-3.1607899999999995,11
disarmament,40198.09776111847,40199.066852608266,Topic3,-3.3338,2.4127,-1.6098499999999998,2
nuclear,38912.156012818035,39647.48986557113,Topic3,-3.3663,2.394,-1.6382099999999997,2
